,prices,whole_milk_Product,Milk_size
0,5.99,Lactaid Whole Milk,64.0
1,6.99,Horizon Organic Whole High Vitamin D Milk,64.0
2,6.99,Stonyfield Organic Whole Milk,64.0
3,6.99,Horizon Organic 1% Lowfat High Vitamin D Milk,64.0
4,6.99,Horizon Organic Reduced Fat Organic Milk,64.0
5,7.99,Horizon Organic DHA Omega-3 Vitamin D Organic Whole Milk,64.0
6,8.49,Organic Valley Whole Milk,64.0
7,8.49,Organic Valley Whole Milk,64.0
8,8.49,Organic Valley 2% Milk,64.0
9,8.49,Organic Valley Ultra Pasteurized Lowfat Organic 1% Milk,64.0
10,8.99,Organic Valley Ultra Pasteurized 0% Fat Milk,64.0
